text,annotation_25,annotation_21,annotation_77,annotation_23
Shut Down All B​.​C Schools Due To Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Hold Town Sports International Holdings financially liable for holding accounts COVID-19,unclear,unclear,unclear,unclear
Reduce OSU tuition-and-fees cost in response to COVID-19 and remote learning changes,unclear,pro-mitigation,unclear,pro-mitigation
Government must honor Doctors & Frontline Workers who died as Covid Warriors with medals.,pro-mitigation,pro-mitigation,unclear,pro-mitigation
RECALL TEXAS GOVERNOR GREG ABBOTT,unclear,pro-mitigation,unclear,unclear
A second stimulus check for Americans!,pro-mitigation,unclear,unclear,unclear
"COVID-19 Single parents and guardians of minors must not work, the government must cover t",unclear,pro-mitigation,pro-mitigation,pro-mitigation
Rapid testing for COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
uOttawa Make Pass/Fail an Option for Classes the Winter Semester due to COVID,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Null and void the Premier League,unclear,unclear,unclear,unclear
Free public transport for NHS staff to accompany 1% pay rise,pro-mitigation,pro-mitigation,unclear,pro-mitigation
PM please give immediate COVID Insurance cover to all NHS staff,pro-mitigation,pro-mitigation,unclear,pro-mitigation
SAY NO TO OSHA PROPOSED PERMANENT RULE,unclear,anti-mitigation,unclear,unclear
(NTU) - Viewing of results before deciding to S/U,unclear,unclear,unclear,unclear
