text,annotation_88,annotation_89,annotation_90,annotation_92
Universal living wage for all ad-hoc agency workers during the covid-19 crisis,unclear,pro-mitigation,unclear,pro-mitigation
Brainware University need to close College due to effect of COVID-19.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Whittier Council Member Jessica Martinez: Recuse Yourself from Immigrant Relief Lawsuit,unclear,pro-mitigation,unclear,unclear
Allow parents to temporarily home educate without being penalised during Covid-19 outbreak,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
There will be a day AFTER COVID-19.  Help us change the way leaders lead.  Everywhere.,unclear,unclear,unclear,pro-mitigation
Close Madison City Schools due to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Mthuli Ncube to remove 2% charge from all electronic money transactions #Covid-19 period,unclear,pro-mitigation,unclear,pro-mitigation
Partially Refund Loughborough University Tuition Fees,unclear,pro-mitigation,unclear,pro-mitigation
Proper equipments and facilities for Arunachal Pradesh to tackle Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Humber College should reduce tuition fees for classes recently made online due to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
South Dakota State University pass or fail students -COVID-19,unclear,pro-mitigation,unclear,pro-mitigation
Tim Walz: Support to-go wine & beer sales for the restaurant industry during COID-19,anti-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
Demanding permanent employment for contract workers in M'sia Gov! #WeAreFrontliners,unclear,pro-mitigation,unclear,unclear
Rescind the Acceptance of racist Drew Dollar into LSU,unclear,unclear,unclear,unclear
Postpone All Entrances and ExamsDuring Current Situation of Covid-19.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
We Texans demand that Ted Cruz resign.,unclear,unclear,unclear,unclear
LET US IN! Adjust The Nursing Home Visitation Policy due to Covid 19,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
COVID-19 Landlord Support,pro-mitigation,anti-mitigation,unclear,pro-mitigation
Cancellation of STPM Semester 2 examination 2020,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Immediate & Unconditional Release of Jawar Mohammed & All Oromo Political Prisoners,unclear,anti-mitigation,unclear,unclear
Close non essential warehouses Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Revise the Academic Calendar & Suspend the Online Classes throughout COVID-19 crisis,pro-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
ASHA dues should be WAIVED for 2020!,unclear,pro-mitigation,unclear,unclear
Cancellation of Lebanese Official Exams for 2020/إلغاء الإمتحانات الرسمية اللبنانية ل-٢٠٢٠,unclear,pro-mitigation,pro-mitigation,pro-mitigation
Hazard pay for essential employees working with the public during the covid-19 pandemic.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Stop children being weighed in school without parental consent,unclear,unclear,unclear,unclear
Allow Visitors for Covid-19 Patients,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Exigimos acciones de control y salud en la Reserva Natural de La Parguera,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
