text,annotation_70,annotation_72,annotation_47,annotation_80,annotation_79
Lift Ban on Riding Road Registered Motorcycles During covid 19,unclear,anti-mitigation,,anti-mitigation,anti-mitigation
Stop Allowing Flights with Covid Infected People to Land in Canada,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
"OPEN LETTER TO THE LEADERS OF THE COUNTRIES AND NATIONS OF THE EARTH

FOR THE POOR",unclear,unclear,,unclear,unclear
Act now to save small businesses & start-ups - CBILS not available to so many...,anti-mitigation,unclear,,pro-mitigation,anti-mitigation
"Support for NY State Licensed, High-Touch Service Professionals During Covid-19.",anti-mitigation,unclear,,anti-mitigation,unclear
"Postponement of Final examinations for Mithibai College,in regards to Covid-19",pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Rescind Abbott’s Execute Order GA-13: Biased Bail Restrictions during COVID-19,unclear,unclear,,unclear,pro-mitigation
"$2,000/month for Each Adult and $1,000/month for Each Child during COVID-19 crisis",unclear,unclear,,pro-mitigation,anti-mitigation
Approve direct access to COVID-19 rapid screening tests,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Restrict Northern BC Work Camps to Essential Operations Only - Covid-19,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
No Mandatory COVID-19 Testing For Ohio Athletics ( OHSAA) & Let Spectators In all Games.,anti-mitigation,anti-mitigation,,anti-mitigation,anti-mitigation
Shut down all Visalia Unified School District Schools to prevent Corona Virus,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
ALTERNATIVE GRADUATION OPTION FOR CMS SENIORS,pro-mitigation,anti-mitigation,,pro-mitigation,unclear
Protect Hanover community from Wegmans,unclear,unclear,,unclear,unclear
Alberta golf courses should receive an exemption from mandated business closures,unclear,anti-mitigation,,unclear,anti-mitigation
Petition for Online Teaching in QUB under COVID-19 Threat,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
University and College tuition reduction in Ontario,unclear,unclear,,pro-mitigation,unclear
The easing of covid restrictions,unclear,anti-mitigation,,anti-mitigation,anti-mitigation
Restrict Incoming Maui Flights to Slow Spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,,pro-mitigation
Urge “shelter in place” order for the state of Utah,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
KKTC GİRNE AMERİKAN ÜNİVERSİTESİ ÖDEMELERİNE İNDİRİM İSTİYORUZ,unclear,unclear,,unclear,unclear
Give NJ Teachers and school staff immediate access to the COVID-19 vaccine,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Demand Johns Hopkins Protect its Graduate Employees amid COVID-19,unclear,unclear,,unclear,pro-mitigation
Re-open unused wards of University Hospital of Hartlepool during Covid 19 pandemic,pro-mitigation,"pro-mitigation,pro-mitigation",pro-mitigation,,
Postponing the JEE MAINS Examination april 2020 due to COVID-19 outbreak,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Don't let new immigrants fall through the cracks during covid-19.,unclear,unclear,,pro-mitigation,unclear
Protect our TWU community from COVID-19 by suspending face-to-face classes and meetings.,pro-mitigation,pro-mitigation,,pro-mitigation,pro-mitigation
Urgent Action Needed: Strengthen Ethnic Studies in Stockton Unified School District,unclear,unclear,,unclear,unclear
No More Live Markets - make the difference,unclear,unclear,,unclear,pro-mitigation
SAVE THE NORTHCOTE PUBLIC GOLF COURSE,unclear,unclear,,unclear,anti-mitigation
